date,sp500,dividends,earnings,cape
2003-01-01,895.84,16.119999999999997,28.5,22.898348576613213
2003-02-01,837.03,16.169999999999998,29.41,21.214102123415284
2003-03-01,846.63,16.22,30.32,21.309719026990994
2003-04-01,890.03,16.203333333333333,31.73,22.427939577730896
2003-05-01,935.96,16.186666666666667,33.13999999999999,23.591080453481478
2003-06-01,988.0,16.17,34.55,24.832223259531062
2003-07-01,992.54,16.310000000000002,35.89333333333333,24.86732910126878
2003-08-01,989.53,16.450000000000003,37.236666666666665,24.64225140993216
2003-09-01,1019.44,16.59,38.58,25.243686752606255
2003-10-01,1038.73,16.85666666666667,41.96666666666667,25.68275607057968
2003-11-01,1049.9,17.123333333333335,45.35333333333333,25.946798218420128
2003-12-01,1080.64,17.39,48.74,26.635170511081537
2004-01-01,1132.52,17.6,49.826666666666675,27.658540355736566
2004-02-01,1143.36,17.810000000000002,50.913333333333334,27.650862036740218
2004-03-01,1123.98,18.02,52.0,26.886530384035865
2004-04-01,1133.36,18.213333333333335,53.38333333333333,26.900577508444893
2004-05-01,1102.78,18.406666666666666,54.76666666666667,25.902814292943763
2004-06-01,1132.76,18.6,56.15,26.40128536647491
2004-07-01,1105.85,18.78666666666667,56.69,25.695888646268553
2004-08-01,1088.94,18.973333333333333,57.23,25.17446222647777
2004-09-01,1117.66,19.16,57.77,25.66840677635769
2004-10-01,1117.21,19.253333333333334,58.03,25.411655665489334
2004-11-01,1168.94,19.346666666666668,58.29,26.465310814818043
2004-12-01,1199.21,19.44,58.55,27.14480869474123
2005-01-01,1181.41,19.703333333333333,59.10666666666666,26.587250697970376
2005-02-01,1199.63,19.96666666666667,59.663333333333334,26.744863128101176
2005-03-01,1194.9,20.23,60.22,26.339142131057926
2005-04-01,1164.43,20.46333333333333,61.23333333333333,25.408922569114466
2005-05-01,1178.28,20.696666666666665,62.24666666666667,25.650230187182967
2005-06-01,1202.25,20.93,63.26,26.068394871883985
2005-07-01,1222.24,21.11,64.33,26.28787109125474
2005-08-01,1224.27,21.29,65.39999999999999,26.104381410936142
2005-09-01,1225.92,21.47,66.47,25.730122990164453
2005-10-01,1191.96,21.72,67.58999999999999,24.876538723647943
2005-11-01,1237.37,21.97,68.71,25.931783309069008
2005-12-01,1262.07,22.22,69.83,26.443803114292393
2006-01-01,1278.73,22.406666666666666,70.77666666666666,26.468702626685708
2006-02-01,1276.65,22.593333333333334,71.72333333333334,26.249624763583288
2006-03-01,1293.74,22.78,72.67,26.32783777866768
2006-04-01,1302.17,23.0,73.27666666666666,26.14728094387452
2006-05-01,1290.01,23.22,73.88333333333333,25.65064070875733
2006-06-01,1253.17,23.44,74.49,24.74958224164637
2006-07-01,1260.24,23.66,75.85,24.6967867668533
2006-08-01,1287.15,23.88,77.21,25.051393562010958
2006-09-01,1317.74,24.1,78.57,25.64415644079738
2006-10-01,1363.38,24.36,79.55,26.53804028210172
2006-11-01,1388.64,24.619999999999997,80.53,26.92802027085649
2006-12-01,1416.42,24.88,81.51,27.282689787571684
2007-01-01,1424.16,25.083333333333332,82.05666666666667,27.207536656807147
2007-02-01,1444.8,25.286666666666665,82.60333333333334,27.315181413516623
2007-03-01,1406.95,25.49,83.15,26.227605554650903
2007-04-01,1463.64,25.71666666666667,83.74000000000001,26.9762683141891
2007-05-01,1511.14,25.943333333333335,84.33000000000001,27.54849045185127
2007-06-01,1514.19,26.17,84.92,27.41826274041062
2007-07-01,1520.71,26.440000000000005,82.81333333333333,27.41008816720434
2007-08-01,1454.62,26.71,80.70666666666666,26.148607189312326
2007-09-01,1497.12,26.98,78.6,26.725743047696927
2007-10-01,1539.66,27.230000000000004,74.46000000000001,27.320648130462025
2007-11-01,1463.39,27.480000000000004,70.32000000000001,25.72905357949838
2007-12-01,1479.22,27.73,66.18,25.955510105240236
2008-01-01,1378.76,27.92,64.25,24.022317760836824
2008-02-01,1354.87,28.11,62.32,23.495263401811783
2008-03-01,1316.94,28.3,60.39,22.606810842249345
2008-04-01,1370.47,28.436666666666667,57.383333333333326,23.356040643201606
2008-05-01,1403.22,28.573333333333334,54.376666666666665,23.69643211662318
2008-06-01,1341.25,28.71,51.37,22.416812802281942
2008-07-01,1257.33,28.756666666666668,49.56333333333333,20.90720646266158
2008-08-01,1281.47,28.803333333333335,47.75666666666667,21.40161736004793
2008-09-01,1216.95,28.85,45.95,20.36273394609752
2008-10-01,968.8,28.696666666666665,35.593333333333334,16.38735654878984
2008-11-01,883.04,28.543333333333333,25.236666666666668,15.259659405704582
2008-12-01,877.56,28.39,14.88,15.376080747423774
2009-01-01,865.58,28.013333333333335,12.206666666666667,15.174651936879675
2009-02-01,805.23,27.63666666666667,9.533333333333333,14.122181801918904
2009-03-01,757.13,27.26,6.86,13.323667656863936
2009-04-01,848.15,26.703333333333333,7.076666666666666,14.981866453039258
2009-05-01,902.41,26.14666666666667,7.293333333333333,15.996355755263162
2009-06-01,926.12,25.59,7.51,16.38418281621535
2009-07-01,935.82,25.026666666666664,9.186666666666667,16.694620816995627
2009-08-01,1009.73,24.46333333333333,10.863333333333333,18.094069801576094
2009-09-01,1044.55,23.9,12.54,18.831902264840085
2009-10-01,1067.66,23.403333333333332,25.349999999999998,19.358008443486845
2009-11-01,1088.07,22.906666666666666,38.16,19.812761079966062
2009-12-01,1110.38,22.41,50.97,20.322376500216546
2010-01-01,1123.58,22.24,54.28999999999999,20.527859801454422
2010-02-01,1089.16,22.07,57.61,19.920539306600446
2010-03-01,1152.05,21.9,60.93,21.004601209715368
2010-04-01,1197.32,21.946666666666665,62.986666666666665,21.80484559962516
2010-05-01,1125.06,21.993333333333332,65.04333333333332,20.480068638423415
2010-06-01,1083.36,22.04,67.1,19.74203985373946
2010-07-01,1079.8,22.143333333333334,68.68666666666667,19.668660470717715
2010-08-01,1087.28,22.246666666666666,70.27333333333333,19.770299174358588
2010-09-01,1122.08,22.35,71.86,20.381395233204035
2010-10-01,1171.58,22.476666666666667,73.69,21.240127651759423
2010-11-01,1198.89,22.603333333333335,75.52,21.70072382776062
2010-12-01,1241.53,22.73,77.35,22.396379773044206
2011-01-01,1282.62,22.963333333333335,78.67,22.978299430554976
2011-02-01,1321.12,23.196666666666665,79.99000000000001,23.489828703298514
2011-03-01,1304.49,23.43,81.31,22.89933643014363
2011-04-01,1331.51,23.733333333333334,82.16333333333334,23.143929447285934
2011-05-01,1338.31,24.036666666666665,83.01666666666667,23.05949150609533
2011-06-01,1287.29,24.34,83.87,22.100831286610983
2011-07-01,1325.19,24.619999999999997,84.90666666666667,22.610981701156614
2011-08-01,1185.31,24.9,85.94333333333334,20.049852721660486
2011-09-01,1173.88,25.18,86.98,19.698114568877706
2011-10-01,1207.22,25.596666666666664,86.97,20.155824786688743
2011-11-01,1226.42,26.013333333333335,86.96000000000001,20.34524679764581
2011-12-01,1243.32,26.43,86.95,20.52357549943169
2012-01-01,1300.58,26.736666666666668,87.48,21.213008091803445
2012-02-01,1352.49,27.043333333333337,88.01,21.797435963717525
2012-03-01,1389.24,27.35,88.54,22.053943972904698
2012-04-01,1386.43,27.673333333333332,88.33333333333334,21.77924690682488
2012-05-01,1341.27,27.996666666666666,88.12666666666667,20.941467419743464
2012-06-01,1323.48,28.32,87.92,20.547504086856083
2012-07-01,1359.78,28.743333333333332,87.44666666666667,20.999341293380553
2012-08-01,1403.45,29.166666666666664,86.97333333333333,21.410428453442925
2012-09-01,1443.42,29.59,86.5,21.78369030172767
2012-10-01,1437.82,30.14333333333333,86.50333333333333,21.577109654528776
2012-11-01,1394.51,30.696666666666665,86.50666666666667,20.898162059573693
2012-12-01,1422.29,31.25,86.51,21.23826113984561
2013-01-01,1480.4,31.536666666666665,86.90666666666667,21.900475413821802
2013-02-01,1512.31,31.82333333333333,87.30333333333334,22.05272433686194
2013-03-01,1550.83,32.11,87.7,22.419207114602568
2013-04-01,1570.7,32.49666666666667,88.78333333333333,22.59565539610558
2013-05-01,1639.84,32.88333333333334,89.86666666666667,23.411841781842394
2013-06-01,1618.77,33.27,90.95,22.92533317391532
2013-07-01,1668.68,33.64666666666667,92.09,23.492460177159636
2013-08-01,1670.09,34.02333333333333,93.23,23.356649094916083
2013-09-01,1687.17,34.4,94.37,23.442287167960597
2013-10-01,1720.03,34.596666666666664,96.31333333333333,23.83473788763143
2013-11-01,1783.54,34.79333333333334,98.25666666666666,24.642077092412045
2013-12-01,1807.78,34.99,100.2,24.86186929646193
2014-01-01,1822.36,35.403333333333336,100.41666666666666,24.859609093632702
2014-02-01,1817.04,35.81666666666666,100.63333333333333,24.590930877894127
2014-03-01,1863.52,36.23,100.85,24.956039153965374
2014-04-01,1864.26,36.61333333333333,101.60666666666667,24.786315396962625
2014-05-01,1889.77,36.99666666666667,102.36333333333334,24.943274109902575
2014-06-01,1947.09,37.38,103.12,25.55800762351128
2014-07-01,1973.1,37.75,104.06666666666666,25.817545976158726
2014-08-01,1961.53,38.120000000000005,105.01333333333334,25.617606421799387
2014-09-01,1993.23,38.49,105.96,25.91843689260618
2014-10-01,1937.27,38.806666666666665,104.74333333333334,25.162748283083236
2014-11-01,2044.57,39.123333333333335,103.52666666666667,26.60681714714341
2014-12-01,2054.27,39.44,102.31,26.794085482572537
2015-01-01,2028.18,39.89666666666667,101.28999999999999,26.49229542038312
2015-02-01,2082.2,40.35333333333333,100.27000000000001,26.995513699383242
2015-03-01,2079.99,40.81,99.25,26.728605452928473
2015-04-01,2094.86,41.120000000000005,97.80333333333334,26.79137168019232
2015-05-01,2111.94,41.43,96.35666666666667,26.80611137965082
2015-06-01,2099.29,41.74,94.91,26.495895292784844
2015-07-01,2094.14,41.99666666666667,93.49333333333334,26.381136336399692
2015-08-01,2039.87,42.25333333333333,92.07666666666667,25.693658417057698
2015-09-01,1944.41,42.51,90.66,24.496752170486438
2015-10-01,2024.81,42.803333333333335,89.28333333333333,25.49144104606675
